id,name,lat,lng
312,CE-455 Pedregal-Ferrocarril De Cuernavaca,19.426308,-99.2033
313,CE-266-267 Jesús García - Carlos J. Meneses,19.444031,-99.152187
314,CE-201 Lope de Vega-Av. Ejército Nacional,19.437497,-99.187212
315,CE-208 Hesiodo-Lamartine,19.434182,-99.189835
316,CE-221 Emilio Castelar-Presidente Masaryk,19.431799,-99.201565
317,CE-210 Eugenio Sue-Horacio,19.434076,-99.194091
318,CE-021 Reforma - Dublín,19.42481,-99.171765
319,CE-206 Homero-Moliere,19.436142,-99.200996
320,CE-086 Sullivan-Insurgentes,19.432452,-99.15924
321,CE-233 Julio Verne-Luis G. Urbina,19.429314,-99.196965
322,CE-451 Campos Elíseos-Goldsmith,19.428847,-99.201299
323,CE-008 Reforma - General Prim,19.431256,-99.158153
324,CE-223 Isaac Newton-Presidente Masaryk,19.431242,-99.191613
325,CE-668 Plateros - Capuchinas,19.367522,-99.181727
326,CE-242 Pról. Moliere-Miguel de Cervantes Saavedra,19.440027,-99.200711
327,CE-050 Cuernavaca - Veracruz,19.416824,-99.173788
328,CE-145 Yucatán-Chiapas,19.41286,-99.160661
329,CE-142 San Luis Potosí-Eje 2 Pte. Monterrey,19.413252,-99.164124
330,CE-155 Jalapa-Tlaxcala,19.408218,-99.159911
331,CE-225 Petrarca-Presidente Masaryk,19.431172,-99.185612
332,CE-553  Jaime Torres Bodet - Ribera de San Cosme,19.442,-99.159333
333,CE-051 Colima - Oaxaca,19.418031,-99.168435
334,CE-170 Observatorio Oriente-Revolución,19.404029,-99.184342
335,CE-452 Leibnitz-Av. Ejercito Nacional,19.435867,-99.179856
336,CE-552 Fresno - Ribera de San Cosme,19.443108,-99.162454
337,CE-130 Mérida-Durango,19.421576,-99.158015
338,CE-062 Fernando Montes de Oca - Amatlan,19.413316,-99.175305
339,CE-061 Avenida México - Sonora,19.413832,-99.169399
340,CE-129 Tonalá-Durango,19.4206,-99.163312
341,CE-068 Tamaulipas - Michoacán,19.411668,-99.173824
342,CE-448 Dr. Andrade-Arcos De Belén,19.426611,-99.14447
343,CE-253 Dante-Tolstoi,19.426448,-99.178153
344,CE-487 Nopaltzin - Quetzalcoatl,19.441728,-99.167477
345,CE-554 Heroes Ferrocarrileros - Mariano Azuela,19.441747,-99.155639
346,CE-151 Campeche-Tonalá,19.410529,-99.160873
347,CE-550 Sor Juana Ines de la Cruz - Fresno,19.445947,-99.161378
348,CE-551 Nogal - Ribera de San Cosme,19.443581,-99.164883
349,CE-549 Sor Juana Ines de la Cruz - Dr. Atl,19.445044,-99.157133
350,CE-162 Tehuantepec-Medellín,19.404907,-99.162485
352,CE-024 Reforma- Varsovia,19.426614,-99.168078
353,CE-026 Reforma - Versalles,19.432595,-99.154995
354,CE-191 Gobernador Rafael Rebollar-Gobernador Vicente Eguía,19.40796,-99.187901
355,CE-045 Durango - Sonora,19.418749,-99.171942
356,CE-052 Hidalgo - Trujano,19.436208,-99.141931
357,CE-286 13 de Septiembre-Avenida Patriotismo,19.399201,-99.179943
358,CE-160 Alfonso Herrera-Gabino Barreda,19.440252,-99.163455
359,CE-194 Circuito Mahatma Gandhi-Reforma,19.424282,-99.180334
360,CE-659  Madrid - Avenida Mexico,19.356486,-99.169456
361,CE-096 López-Ayuntamiento,19.430625,-99.14248
362,CE-667 Hermes - Mosqueta,19.363955,-99.180789
363,CE-084 Chilpancingo - Tlaxcala,19.406872,-99.169572
364,CE-660 Josefa Ortiz de Dominguez - Circuito Interior,19.358003,-99.170106
365,CE-168 Comercio-Progreso,19.403997,-99.1776
366,CE-670 Felix Parra - Flamencos,19.3676,-99.184992
367,CE-154 Tuxpan-Tlaxcala,19.406683,-99.167962
368,CE-658 Vicente Guerrero - Berlín,19.355339,-99.165613
369,CE-657 Madrid - Centenario,19.357436,-99.163794
370,CE-184 General Gómez Pedraza-Gobernador Tiburcio Montiel,19.414793,-99.185083
371,CE-153 Manzanillo-Tlaxcala,19.407468,-99.165141
372,CE-077 Choapan - Tamaulipas,19.406745,-99.178272
373,CE-073 Campeche - Tamaulipas,19.410073,-99.175542
374,CE-078 Benjamín Hill - Tamaulipas,19.407512,-99.177361
375,CE-163 Toluca-Bajío,19.405246,-99.15643
376,CE-054 Parque España - Sonora,19.416163,-99.170795
377,CE-169 Prosperidad-Progreso,19.403019,-99.174934
378,CE-430 Tripoli-Av. Popocatépetl (Eje 8),19.36205,-99.154976
379,CE-171 Comercio-Jose Martí,19.402532,-99.178203
380,CE-309 Pensilvania-Arizona,19.393059,-99.179483
381,CE-182 Progreso-Astrónomos,19.402028,-99.171292
382,CE-331 Avenida 2-Calle 17,19.388748,-99.183924
383,CE-279 La Morena-Providencia,19.399908,-99.166553
384,CE-187 General Cano-Gobernador Gregorio V. Gelati,19.411227,-99.185514
385,CE-291 Magdalena-División Del Norte,19.397651,-99.169946
386,CE-297 Diagonal San Antonio-Enrique Rébsamen,19.394412,-99.158907
387,CE-310 Calle 1-Av. Patriotismo,19.395316,-99.181726
388,CE-314 Nueva York-Louisiana,19.391647,-99.177331
389,CE-351 Calle 27-Avenida Revolución,19.385751,-99.186297
390,CE-319 Diagonal San Antonio-Luz Saviñón,19.391991,-99.162684
391,CE-329 Calle 13-Avenida 1,19.390306,-99.184812
392,CE-164 Bajío-Tlacotalpan,19.403229,-99.165854
393,CE-295 Anaxágoras-Eje 4 Sur Xola,19.396189,-99.156877
394,CE-336 San Borja-Cda. Dr. J. Bartolache,19.385531,-99.169673
395,CE-296 Diagonal San Antonio-Enrique Rébsamen,19.394283,-99.158756
396,CE-323 Concepción Beistegui-Gabriel Mancera,19.388986,-99.163245
397,CE-340 Anaxágoras-Avenida Eugenia,19.385625,-99.158193
398,CE-669 Los Juarez - Sagredo,19.370769,-99.187361
399,CE-209 Solón-Horacio,19.435478,-99.206359
400,CE-317 Avenida Coyoacán-Torres Adalid,19.391456,-99.166157
