id,name
221,(GDL-154) C. Capuchinas / Av. Las Rosas
222,(GDL-155) Parque de las Estrellas/Mariano Ote
223,Ex-GDL-156 C. Crepúsculo / Av. Mariano Otero
224,(GDL-157) Av. Mariano Otero/ Av. De las Rosas
225,(GDL-158) Av. Faro / Av. Las Rosas
226,(GDL-159) C. Guadalupe Victoria /Del Ejercito
227,(GDL-160) C.Silverio Garcia/Blvrd. García Ba
228,(GDL-161) C. Rio Usumacinta/Blvrd García Barr
229,(GDL-162) C. Rio Tuxpan / C. Salvador Lopez C
230,(GDL-163) C. Corregidora / Blvrd. García B.
231,(GDL-164) Av. Olímpica /C. José Rolon
232,(GDL-165) C. Rio Panuco/ Blvrd. García B.
233,(GDL-166) C. Rio Principal / Blvrd. García B.
234,(GDL-167) C. Rio San Juan de Dios/Blvrd. Garc
235,(GDL-168) Av. Rio Nilo / C. Ramón Pacheco
236,(GDL-169) Blvrd. García Barragán/ C. Rio Zapo
237,(GDL-170)  C. Relojeros/ C. Chamizal
238,(GDL-171) C. Maquinistas / C. San Rafael
239,(GDL-172) C. Chamizal / Av. Rio Nilo
240,EX-GDL-173 C. Caballerango / C. Caporales
241,(GDL-174) C. Juan de Zumárraga / Av. Tepeyac
242,(GDL-175) C. Ermita / C. San Uriel
243,(GDL-176) C. San Bonifacio/ Paseo Benedictino
244,(GDL-177) C. Fray Fco Frejes / C. Fco Zarco
246,(GDL-178) Salvador Quevedo/López Portillo
247,(GDL-179) C. Monte Cáucaso / C. Sierra Nevada
248,(GDL-180) C. Montes Pirineos/Salvador Quevedo
249,(GDL-181) C.Ignacio Rmrz / Av Plan de San Lui
250,Ex-GDL-182 Av. Plan de San Luis / Av. Enríque
251,(TLQ-006) C. Miguel Hidalgo / Calz. Revolució
253,(GDL-156) C. Duque de Rivas/ C. López Cotilla
254,(GDL-020) C. General Coronado / C.Juan Manuel
255,(GDL-182) C. General Coronado / C. Manuel Acu
256,(GDL-183) Calz. Independencia / Av. Niños Hér
257,(GDL-184) Ingreso Cucei / Revolución
258,(GDL-185) Dr. Silverio García /Av. Revolución
259,(GDL-186) C. Argentina / C. Francia
260,(GDL-187) Av. 16 de Septiembre / C. Priscilia
261,(GDL-188) Av. de la Presa / Av. Manuel A. Cam
262,(GDL-189) C. 5 de Mayo/ Av. Revolución
263,(GDL-190) C. Anahuac / Av. Revolución
264,(GDL-191) Plaza de los Mariachis
265,(GDL-192) Calle A1 / Av. Manuel A. Camacho
266,(GDL-193) C. Hawai / C. Nicolás Romero
267,(GDL-194) Av. Revolución / C. Ramón López Ve
268,(GDL-195) C. Ramón Corona / Av. Juárez
269,(GDL-196) C. Esmeralda / C. Manuel Acuña
270,(GDL-197) Av. Río Nilo / Av. Revolución
271,(GDL-198) Av. Alcalde / C. Hospital
272,(GDL-199) C. Jesús García/Av. Alcalde
273,(GDL-200) Av. Alcalde /Av. Manuel A. Camacho
274,(GDL-201) Av. de los Normalistas / C. M. Guti
275,(GDL-202) C. Magisterio / C. Durango
276,(GDL-203) Av. Federalismo / C. Tamaulipas
277,(GDL-204) C. España/ Av. Chapultepec
278,(GDL-205) Av. Agustín Yáñez /C. Venezuela
279,(GDL-206) C. Suiza / Av. Enrique Díaz de león
280,(GDL-207) C. Lázaro Pérez / C. Escorza
281,(GDL-208) Av. España / Av. Federalismo
282,(GDL-209) Calz. del Campesino / Calz. Indepen
283,(GDL-210) Av. Washington / Calz. Independenci
284,(GDL-211) Av. Washington / C. Rusia
285,(GDL-212) C. Nicolás Romero / C. Jaime Nunó
286,(ZPN-023) Blvrd. de la Espuela / C. Silvano B
287,(ZPN-024) C. Francisco Sarabia / Av. Laureles
288,(ZPN-048) Av. J. Parres Arias / Prol. López C
289,(ZPN-049) Ávila Camacho/ Lábaro Patrio
290,(ZPN-050) C. el Mediero / Prol. Laureles
291,(ZPN-051) Av. Periférico G. Morín / Av. J. Pa
292,(ZPN-052) C. del Pial / C. del Vigía
293,(ZPN-053) Prol. Laureles / Av. Periférico G.
294,(ZPN-054) Av. J. Parres Arias / C. Ignacio Ja
295,(ZPN-055) Prol. Laureles / Av. J. Parres Aria
296,(ZPN-056) Av. M. Ávila Camacho / C. San Jorge
302,(TLQ-008) C. Independencia / C. Allende
303,(GDL-217) C. Ontario / Av. Manuel Acuña
304,(GDL-214) C. Chihuahua / C. Miguel Galindo
305,(GDL-223) C. Dr. Pérez Arce/ C. Gómez Farias
306,(ZPN-066) C. Cuauhtémoc / Av. Tepeyac
307,(GDL-215) C. Durango / C. Gregorio Davila
308,(ZPN-065) C. Del Carmen / Av. Guadalupe
309,(ZPN-064) C. Sto de Aquino / Av. Sta Teresa
310,(exZPN-063) C. San Felipe Neri / Av. Guadalu
311,(GDL-216) C. Tepic / C. Frías.
312,(ZPN-067) C. Chimalhuacán / Av. López Mateos
313,(ZPN-057) C. Escultores / Av. Guadalupe
314,(ZPN-062) C. Loyola / C. Organización
315,(ZPN-061) C. Organización / Av. Guadalupe
316,(ZPN-060) C. De Los Leones / Av. Tepeyac
317,(GDL-224) C. Reyes Flores/ C.Federico Medrano
318,(GDL-222) C. Aldama / C. Dr. Leonardo Oliva
319,(ZPN-058) Av. Labna / Av. Tepeyac
320,(ZPN-059) C. Prados los Pinos/ Av. Tepeyac
321,(GDL-218) C.Hércules / Av. De la Arboleda
322,(GDL-225) C. Gral Carlos Fuero/Av. Revolución
323,(GDL-213) C. Palavicini / Av. Circunvalación
324,(GDL-221) De los científicos/ J. J. Tablada
325,(GDL-226) C. Luis G. Cuevas /Av. Revolución
326,(GDL-219) C. D. Rivera / C. Filósofos
327,(GDL-227) C. Artistas / C. Carlos Pereira
328,(GDL-233) S .Juan de Ulúa /Andrés Q.R.
329,(GDL-235) Félix Palavicini / División del Nte
330,(GDL-236) Félix Palavicini / Antonio Alcalde
331,(GDL-259) C. Dionisio Rodriguez  / C. Cabañas
332,(GDL-234) C. Chihuahua / C. Francisco Tejeda
333,(GDL-239) Silvestre Revueltas Fray Antonio A
334,"(GDL-261)C. Jarauta, Javier Mina"
335,(GDL-242) C. Sevilla / Av. de los Maestros
336,(GDL-243)Av. De los Maestros / C. Mil Cumbres
337,(GDL-245)C. Alejandrina / C. Torres Quintero
338,(GDL-258) Manuel Doblado / Dionisio Rodriguez
339,(ZPN-068)Francisco Mora / Aurelio Ortega
340,(ZPN-069)Jesús María Romo /Av. Aurelio Ortega
341,(ZPN-070)Av. Avila Camacho / Av. Patria
342,(ZPN-073)C. Pintores/ Av. Jose Luis Gonzaga
343,(ZPN-074) C. Doctores / Av. San Luis Gonzaga
344,(ZPN-076)C. Pintores / Av. Guadalupe
345,(ZPN-075) C. Arquitectos / Av. Guadalupe
346,(GDL-248)C. Hospital / C. Humboldt
347,(GDL-249)C. Agustín Rivera / C. Manuel Acuña
348,(GDL-250) Clemente Aguirre / Roque Abarca
349,(GDL-244)C. Paricutin / Calz. Independencia
350,(GDL-228)C. La Soledad / Av. Ávila Camacho
351,(ZPN-071)Av. San Ignacio / Av. Vallarta
352,(ZPN-072) Av. San Francisco / Av. San Ignacio
353,(GDL-263)C. Aldama / C. 5 de Mayo
354,(GDL-247) C. Tenerías / C. Belén
355,(GDL-257)C. Dionisio Rodr./ C. José Fernando
356,(GDL-270)C.Gómez Farías  / Calz. del Ejército
357,(GDL-268)Heroico Colegio Militar/Revolución
358,(GDL-269)Valentín Gómez Farías/Riva Palacio
359,(GDL-230)Francisco Marquez/Federalismo
360,(GDL-255) C. Cabañas / C. Industria
361,(GDL-275)C. Antonio Tello / C. Lindavista
362,(TLQ-015) Contreras Medellín / Niños Héroes
363,(GDL-229)C. Guanajuato / C. Miguel Galindo
364,(GDL-265)C. Clavel / Av. Gigantes
365,(GDL-274) Corregidora/Pensador Mexicano
366,(GDL-271) Román Morales / Álvaro Obregón
368,(GDL-256)Josefa Ortíz/Juan Díaz Covarrubias
369,(GDL-262) Av. Gigantes / C. Aquiles Serdán
370,(GDL-273) C. Aldama / C. Orozco Berra
371,(GDL-237)Av. Ramón Corona / C. Leandro Valle
372,(GDL-238)José Juan Tablada / José Vasconcelos
373,(GDL-251)C. Pablo Valdez / C. Mariano Jiménez
374,(GDL-260) Churubusco / Álvaro Obregón
375,(GDL-264) Federico Medrano / Antonio Rosales
376,(GDL-266) C. Matamoros / Calz. Revolución
377,(GDL-232)Tamaulipas/Andrés Quintana Roo
378,(TLQ-014) C. Hornos / C. Francisco I. Madero
379,(GDL-241)Junípero Serra/José Encarnación
380,(TLQ-013)Zalatitan/Francisco Silva Romero
381,(GDL-231) C. Tabasco / C. Juan de la Barrera
382,(GDL-272)C. Jaime Nunó / C. De la Costa
383,(GDL-240)Hilarion Romero Gil/Gabriela Mistral
384,(GDL-252) C. Calpulalpan / C. Independencia
385,(GDL-246)Juan José Baz/Silvestre Revueltas
386,(GDL-254)Porfirio Díaz/Francisco Javier Mina
387,(GDL-267) C. Diego Rivera / C. Sanganguey
388,(GDL-253) C. General Salazar / C. Federación
389,(ZPN-014) Av. D / San Jorge
390,(ZPN-063) Paulino Navarro/Ma del Refugio Puga
391,(ZPN-078) Lago Constanza / San Jorge
392,(GDL-278) Ignacio Ramirez / Del Istmo
393,(GDL-277) Av. 8 de julio / Alemania
394,(ZPN-077) Helios / Av. Tepeyac
395,(GDL-276) Francisco de Quevedo / Miguel Lerdo
396,(GDL-280) Golfo de Cortes/ Fernando de Celada
397,(GDL-279) Belen / Av. de los Maestros
398,(GDL-281) Nevado Toluca / Av de los Maestros
401,(ZPN-079) Av. Coyoacan / C. Chimalpopoca
